epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,7266.01,0.66222,0.35445,0.86646,0.69341,0.61133,0.63973,0.48247,1.01297,0.91132,1.01303,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7432.45,0.66132,0.35271,0.86585,0.78009,0.58769,0.63701,0.48235,0.99624,0.91675,1.00414,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7598.59,0.65764,0.34934,0.86539,0.74151,0.58675,0.64048,0.4855,0.99323,0.9127,1.00385,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7765.9,0.65621,0.34801,0.86584,0.69217,0.60726,0.63155,0.47964,0.99419,0.94728,1.00807,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7931.87,0.65352,0.34557,0.86265,0.67617,0.60845,0.63152,0.48215,1.00808,0.96614,1.01079,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8098.2,0.65105,0.34399,0.86431,0.72977,0.60244,0.63654,0.48373,1.0018,0.98252,1.01074,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8266.62,0.65075,0.34341,0.86286,0.73471,0.59054,0.63635,0.48286,1.00574,0.99157,1.00843,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8433.39,0.64708,0.34332,0.86308,0.73655,0.57592,0.63961,0.48849,0.99813,0.99988,1.00128,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8598.94,0.64783,0.34334,0.86267,0.69989,0.61808,0.64268,0.48872,0.99506,0.97606,1.00652,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8765.53,0.64435,0.33818,0.86323,0.73613,0.5795,0.62618,0.47668,1.00524,0.99283,1.0147,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8931.5,0.64409,0.33776,0.86251,0.71727,0.57919,0.6216,0.47407,1.00215,0.98119,1.00889,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9096.85,0.63872,0.3347,0.85972,0.74159,0.57553,0.62867,0.48313,0.98814,0.94577,1.00385,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9262.96,0.64021,0.33523,0.86149,0.71104,0.6099,0.62206,0.47036,0.99884,0.98289,1.00897,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9429.36,0.63717,0.33165,0.85893,0.72156,0.59855,0.62211,0.47143,1.00027,0.95419,1.01024,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
